hsk2級,就,jiu4,すぐに
hsk2級,觉得,jue2 de5,思う
hsk2級,咖啡,ka1 fei1,コーヒー
hsk2級,开始,kai1 shi3,始めます
hsk2級,考试,kao3 shi4,試験
hsk2級,可能,ke3 neng2,可能
hsk2級,可以,ke3 yi3,できる
hsk2級,课,ke4,レッスン
hsk2級,快,kuai4,速い
hsk2級,快乐,kuai4 le4,ハッピー
hsk2級,累,lei4,疲れる
hsk2級,离,li2,から
hsk2級,两,liang3,二つ
hsk2級,路,lu4,道路
hsk2級,旅游,lv3 you2,ツアー
hsk2級,卖,mai4,売る
hsk2級,慢,man4,遅い
hsk2級,忙,mang2,忙しい
hsk2級,每,mei3,各
hsk2級,妹妹,mei4 mei5,妹
hsk2級,门,men2,ドア
hsk2級,男人,nan2 ren2,男
hsk2級,您,nin2,あなた（敬語）
hsk2級,牛奶,niu2 nai3,ミルク
hsk2級,女人,nv3 ren2,女
hsk2級,旁边,pang2 bian1,隣
hsk2級,跑步,pao3 bu4,ジョギング
hsk2級,便宜,pian2 yi5,安い
hsk2級,票,piao4,チケット
hsk2級,妻子,qi1 zi5,妻
hsk2級,起床,qi3 chuang2,起きる
hsk2級,千,qian1,千
hsk2級,晴,qing2,明確な
hsk2級,去年,qu4 nian2,昨年
hsk2級,让,rang4,させる
hsk2級,上班,shang4 ban1,出勤する
hsk2級,身体,shen1 ti3,ボディ
hsk2級,生病,sheng1 bing4,病気になる
hsk2級,生日,sheng1 ri4,誕生日
hsk2級,时间,shi2 jian1,時間
hsk2級,事情,shi4 qing2,事
hsk2級,手表,shou3 biao3,腕時計
hsk2級,手机,shou3 ji1,携帯電話
hsk2級,送,song4,運ぶ
hsk2級,所以,suo3 yi3,だから
hsk2級,它,ta1,それは
hsk2級,踢足球,ti1 zu2 qiu2,サッカーをする
hsk2級,题,ti2,タイトル
hsk2級,跳舞,tiao4 wu3,ダンス
hsk2級,外,wai4,外
hsk2級,完,wan2,完成する
hsk2級,玩,wan2,遊ぶ
hsk2級,晚上,wan3 shang5,夜
hsk2級,为什么,wei4 shen2 me5,なぜ
hsk2級,问,wen4,問う
hsk2級,问题,wen4 ti2,問題
hsk2級,西瓜,xi1 gua1,スイカ
hsk2級,希望,xi1 wang4,望む
hsk2級,洗,xi3,洗う
hsk2級,向,xiang4,へ
hsk2級,小时,xiao3 shi2,時間
hsk2級,笑,xiao4,笑う
hsk2級,新,xin1,新しい
hsk2級,姓,xing4,姓
hsk2級,休息,xiu1 xi5,休息
hsk2級,雪,xue3,雪
hsk2級,颜色,yan2 se4,色
hsk2級,眼睛,yan3 jing5,目
hsk2級,羊肉,yang2 rou4,羊肉
hsk2級,药,yao4,薬
hsk2級,要,yao1,要求する
hsk2級,也,ye3,さらに
hsk2級,已经,yi3 jing1,既に
hsk2級,一起,yi4 qi3,一緒に
hsk2級,意思,yi4 si5,意味
hsk2級,阴,yin1,陰
hsk2級,因为,yin1 wei4,なぜなら
hsk2級,游泳,you2 yong3,泳ぐ
hsk2級,右边,you4 bian5,右
hsk2級,鱼,yu2,魚
hsk2級,元,yuan2,中国のお金の単位
hsk2級,远,yuan3,遠い
hsk2級,运动,yun4 dong4,運動
hsk2級,再,zai4,再び
hsk2級,早上,zao3 shang5,朝
hsk2級,张,zhang1,枚
hsk2級,丈夫,zhang4 fu5,夫
hsk2級,找,zhao3,探す
hsk2級,着,zhe5,着る
hsk2級,真,zhen1,本当に
hsk2級,正在,zheng4 zai4,している
hsk2級,知道,zhi1 dao5,知っている
hsk2級,准备,zhun3 bei4,準備をする
hsk2級,自行车,zi4 xing2 che1,自転車
hsk2級,走,zou3,歩く
hsk2級,最,zui4,最も
hsk2級,左边,zuo3 bian5,左
hsk3級,阿姨,a1 yi2,おばさん
hsk3級,啊,a5,ああ
hsk3級,矮,ai3,短い
hsk3級,爱好,ai4 hao4,趣味
hsk3級,安静,an1 jing4,静かな
hsk3級,把,ba3,を
hsk3級,班,ban1,クラス
hsk3級,搬,ban1,動く
hsk3級,半,ban4,半分
hsk3級,办法,ban4 fa3,方法
hsk3級,办公室,ban4 gong1 shi4,オフィス
hsk3級,帮忙,bang1 mang2,助ける
hsk3級,包,bao1,包む
hsk3級,饱,bao3,満腹
hsk3級,北方,bei3 fang1,北
hsk3級,被,bei4,によって
hsk3級,鼻子,bi2 zi5,鼻
hsk3級,比较,bi3 jiao4,比較する
hsk3級,比赛,bi3 sai4,試合
hsk3級,必须,bi4 xu1,しなければならない
hsk3級,变化,bian4 hua4,変化
hsk3級,表示,biao3 shi4,表現する
hsk3級,表演,biao3 yan3,演じる
hsk3級,别人,bie2 ren2,人
hsk3級,宾馆,bin1 guan3,ゲストハウス
hsk3級,冰箱,bing1 xiang1,冷蔵庫
hsk3級,才,cai2,だけ
hsk3級,菜单,cai4 dan1,メニュー
hsk3級,参加,can1 jia1,参加する
hsk3級,草,cao3,草
hsk3級,层,ceng2,層、階
hsk3級,差,cha4,違い
hsk3級,超市,chao1 shi4,スーパーマーケット
hsk3級,衬衫,chen4 shan1,シャツ
hsk3級,成绩,cheng2 ji4,成績
hsk3級,城市,cheng2 shi4,街
hsk3級,迟到,chi2 dao4,送れる
hsk3級,出现,chu1 xian4,現れる
hsk3級,厨房,chu2 fang2,キッチン
hsk3級,除了,chu2 le5,以外
hsk3級,春,chun1,春
hsk3級,词语,ci2 yu3,用語
hsk3級,聪明,cong1 ming5,賢い
hsk3級,打扫,da3 sao3,掃除する
hsk3級,打算,da3 suan4,する予定
hsk3級,带,dai4,持って
hsk3級,担心,dan1 xin1,心配
hsk3級,蛋糕,dan4 gao1,ケーキ
hsk3級,当然,dang1 ran2,勿論
hsk3級,地,de5,地面
hsk3級,灯,deng1,ライト
hsk3級,低,di1,低い
hsk3級,地方,di4 fang1,場所
hsk3級,地铁,di4 tie3,地下鉄
hsk3級,地图,di4 tu2,マップ
hsk3級,电梯,dian4 ti1,エレベーター
hsk3級,电子邮件,dian4 zi3 you2 jian4,Eメール
hsk3級,东,dong1,東
hsk3級,冬,dong1,冬
hsk3級,动物,dong4 wu4,動物
hsk3級,短,duan3,短い
hsk3級,段,duan4,セクション
hsk3級,锻炼,duan4 lian4,エクササイズ
hsk3級,多么,duo1 me5,どのように
hsk3級,饿,e4,空腹
hsk3級,而且,er2 qie3,さらに
hsk3級,耳朵,er3 duo5,耳
hsk3級,发烧,fa1 shao1,熱
hsk3級,发现,fa1 xian4,発見
hsk3級,方便,fang1 bian4,便利
hsk3級,放,fang4,離す
hsk3級,放心,fang4 xin1,安心して
hsk3級,分,fen1,分割
hsk3級,附近,fu4 jin4,近所
hsk3級,复习,fu4 xi2,復習する
hsk3級,干净,gan1 jing4,クリーン
hsk3級,敢,gan3,敢えて
hsk3級,感冒,gan3 mao4,風邪をひく
hsk3級,刚才,gang1 cai2,今
hsk3級,跟,gen1,とともに
hsk3級,根据,gen1 ju4,によると、
hsk3級,更,geng1,もっと
hsk3級,公园,gong1 yuan2,公園
hsk3級,故事,gu4 shi4,物語
hsk3級,刮风,gua1 feng1,風が吹く
hsk3級,关,guan1,閉める
hsk3級,关系,guan1 xi4,関係
hsk3級,关心,guan1 xin1,憂慮
hsk3級,关于,guan1 yu2,について
hsk3級,国家,guo2 jia1,国
hsk3級,果汁,guo3 zhi1,ジュース
hsk3級,过去,guo4 qu5,過去
hsk3級,还是,hai2 shi4,若しくは
hsk3級,害怕,hai4 pa4,恐れて
hsk3級,河,he2,川
hsk3級,黑板,hei1 ban3,黒板
hsk3級,护照,hu4 zhao4,パスポート
hsk3級,花,hua1,花
hsk3級,花园,hua1 yuan2,ガーデン
hsk3級,画,hua4,絵
hsk3級,坏,huai4,悪い
hsk3級,还,huan3,さらに
hsk3級,环境,huan2 jing4,環境
hsk3級,换,huan4,変える
hsk3級,黄,huang2,黄色
hsk3級,会议,hui4 yi4,会議
hsk3級,或者,huo4 zhe3,若しくは
hsk3級,几乎,ji1 hu1,殆ど
hsk3級,机会,ji1 hui4,機会
hsk3級,极,ji2,極
hsk3級,记得,ji4 de5,思い出す
hsk3級,季节,ji4 jie2,シーズン
hsk3級,检查,jian3 cha2,検査
hsk3級,简单,jian3 dan1,シンプル
hsk3級,健康,jian4 kang1,健康
hsk3級,见面,jian4 mian4,会う
hsk3級,讲,jiang3,話す
hsk3級,教,jiao1,教える
hsk3級,脚,jiao3,足
hsk3級,角,jiao3,角度
hsk3級,接,jie1,受ける
hsk3級,街道,jie1 dao4,ストリート
hsk3級,结婚,jie2 hun1,結婚
hsk3級,结束,jie2 shu4,終了
hsk3級,节目,jie2 mu4,プログラム
hsk3級,节日,jie2 ri4,休日
hsk3級,解决,jie3 jue2,解決する
hsk3級,借,jie4,借りる
hsk3級,经常,jing1 chang2,しばしば
hsk3級,经过,jing1 guo4,スルー
hsk3級,经理,jing1 li3,マネージャー
hsk3級,久,jiu3,長い
hsk3級,旧,jiu4,古い
hsk3級,举行,ju3 xing2,行う
hsk3級,句子,ju4 zi5,文
hsk3級,决定,jue2 ding4,決める
hsk3級,渴,ke3,喉が渇く
hsk3級,可爱,ke3 ai4,愛らしい
hsk3級,刻,ke4,四分の一
hsk3級,客人,ke4 ren2,ゲスト
hsk3級,空调,kong1 tiao2,空調
hsk3級,口,kou3,口
hsk3級,哭,ku1,泣く
hsk3級,裤子,ku4 zi5,パンツ
hsk3級,筷子,kuai4 zi5,箸
hsk3級,蓝,lan2,青い
hsk3級,老,lao3,古い
hsk3級,离开,li2 kai1,去り
hsk3級,礼物,li3 wu4,ギフト
hsk3級,历史,li4 shi3,歴史
hsk3級,脸,lian3,顔
hsk3級,练习,lian4 xi2,練習
hsk3級,辆,liang4,車
hsk3級,了解,liao3 jie3,理解し
hsk3級,邻居,lin2 ju1,隣人
hsk3級,楼,lou2,床
hsk3級,绿,lv4,グリーン
hsk3級,马,ma3,馬
hsk3級,满意,man3 yi4,満足
hsk3級,帽子,mao4 zi5,帽子
hsk3級,米,mi3,メートル
hsk3級,面包,mian4 bao1,パン
hsk3級,面条,mian4 tiao2,麺
hsk3級,明白,ming2 bai5,理解する
hsk3級,拿,na2,取る
hsk3級,奶奶,nai3 nai5,祖母
hsk3級,南,nan2,南
hsk3級,难,nan2,難しい
hsk3級,难过,nan2 guo4,悲しい
hsk3級,年级,nian2 ji2,年
hsk3級,年轻,nian2 qing1,若い
hsk3級,鸟,niao3,鳥
hsk3級,努力,nu3 li4,努力
hsk3級,爬山,pa2 shan1,登る
hsk3級,盘子,pan2 zi5,一品
hsk3級,胖,pang4,脂肪
hsk3級,啤酒,pi2 jiu3,ビール
hsk3級,葡萄,pu2 tao5,グレープ
hsk3級,普通话,pu3 tong1 hua4,普通話
hsk3級,其实,qi2 shi2,実際
hsk3級,其他,qi2 ta1,他の
hsk3級,骑,qi2,乗る
hsk3級,铅笔,qian1 bi3,鉛筆
hsk3級,清楚,qing1 chu5,明確な
hsk3級,秋,qiu1,秋
hsk3級,奇怪,qi2 guai4,奇妙
hsk3級,裙子,qun2 zi5,スカート
hsk3級,然后,ran2 hou4,それから
hsk3級,热情,re4 qing2,熱意
hsk3級,认为,ren4 wei2,思う
hsk3級,认真,ren4 zhen1,真剣
hsk3級,容易,rong2 yi4,簡単
hsk3級,如果,ru2 guo3,もし
hsk3級,伞,san3,傘
hsk3級,上网,shang4 wang3,インターネット
hsk3級,生气,sheng1 qi4,怒る
hsk3級,声音,sheng1 yin1,音
hsk3級,使,shi3,使う
hsk3級,世界,shi4 jie4,世界
hsk3級,瘦,shou4,薄い
hsk3級,舒服,shu1 fu5,楽に
hsk3級,叔叔,shu1 shu5,叔父
hsk3級,树,shu4,木
hsk3級,数学,shu4 xue2,数学
hsk3級,刷牙,shua1 ya2,歯ブラシ
hsk3級,双,shuang1,ダブル
hsk3級,水平,shui3 ping2,レベル
hsk3級,司机,si1 ji1,ドライバ
hsk3級,虽然,sui1 ran2,にもかかわらず
hsk3級,太阳,tai4 yang2,太陽
hsk3級,糖,tang2,砂糖
hsk3級,特别,te4 bie2,特別な
hsk3級,疼,teng2,痛み
hsk3級,提高,ti2 gao1,増加
hsk3級,体育,ti3 yu4,体育
hsk3級,甜,tian2,甘い
hsk3級,条,tiao2,記事
hsk3級,同事,tong2 shi4,同僚
hsk3級,同意,tong2 yi4,一致する
hsk3級,头发,tou2 fa5,髪
hsk3級,突然,tu1 ran2,突然
hsk3級,图书馆,tu2 shu1 guan3,図書館
hsk3級,腿,tui3,足
hsk3級,完成,wan2 cheng2,完成
hsk3級,碗,wan3,お椀
hsk3級,万,wan4,万
hsk3級,忘记,wang4 ji4,忘れる
hsk3級,为,wei4,のために
hsk3級,为了,wei4 le5,するために
hsk3級,位,wei4,地位
hsk3級,文化,wen2 hua4,文化
hsk3級,西,xi1,西洋の
hsk3級,习惯,xi2 guan4,習慣
hsk3級,洗手间,xi3 shou3 jian1,トイレ
hsk3級,洗澡,xi3 zao3,入浴
hsk3級,夏,xia4,夏
hsk3級,先,xian1,最初
hsk3級,香蕉,xiang1 jiao1,バナナ
hsk3級,相同,xiang1 tong2,同じ
hsk3級,相信,xiang1 xin4,信じ
hsk3級,像,xiang4,のような
hsk3級,小心,xiao3 xin1,気を付ける
hsk3級,校长,xiao4 zhang3,校長
hsk3級,鞋,xie2,靴
hsk3級,新闻,xin1 wen2,ニュース
hsk3級,新鲜,xin1 xian1,新鮮
hsk3級,信,xin4,手紙
hsk3級,行李箱,xing2 li5 xiang1,トランク
hsk3級,兴趣,xing4 qu5,関心
hsk3級,熊猫,xiong2 mao1,パンダ
hsk3級,需要,xu1 yao4,必要
hsk3級,选择,xuan3 ze2,選ぶ
hsk3級,眼镜,yan3 jing4,眼鏡
hsk3級,要求,yao1 qiu2,要求する
hsk3級,爷爷,ye2 ye5,祖父
hsk3級,一定,yi2 ding4,絶対
hsk3級,一共,yi2 gong4,全部で
hsk3級,一会儿,yi2 hui4 r5,しばらく
hsk3級,一样,yi2 yang4,のような
hsk3級,以后,yi3 hou4,後
hsk3級,以前,yi3 qian2,前
hsk3級,以为,yi3 wei2,考え
hsk3級,一般,yi4 ban1,一般的な
hsk3級,一边,yi4 bian1,片側
hsk3級,一直,yi4 zhi2,真っすぐ
hsk3級,音乐,yin1 yue4,音楽
hsk3級,银行,yin2 hang2,銀行
hsk3級,应该,ying1 gai1,すべき
hsk3級,影响,ying3 xiang3,影響を及ぼす
hsk3級,用,yong4,使う
hsk3級,游戏,you2 xi4,ゲーム
hsk3級,有名,you3 ming2,有名
hsk3級,又,you4,また
hsk3級,遇到,yu4 dao4,出会う
hsk3級,愿意,yuan4 yi4,願う
hsk3級,月亮,yue4 liang5,月
hsk3級,越,yue4,越える
hsk3級,云,yun2,雲
hsk3級,站,zhan4,駅
hsk3級,长,zhang3,長い
hsk3級,着急,zhao2 ji2,心配
hsk3級,照顾,zhao4 gu5,世話
hsk3級,照片,zhao4 pian4,写真
hsk3級,照相机,zhao4 xiang4 ji1,カメラ
hsk3級,只,zhi3,のみ
hsk3級,中间,zhong1 jian1,真ん中
hsk3級,终于,zhong1 yu2,遂に
hsk3級,种,zhong3,種類
hsk3級,重要,zhong4 yao4,重要
hsk3級,周末,zhou1 mo4,週末
hsk3級,主要,zhu3 yao4,主要
hsk3級,祝,zhu4,祝う
hsk3級,注意,zhu4 yi4,注意を払い
hsk3級,字典,zi4 dian3,辞書
hsk3級,自己,zi4 ji3,自分の
hsk3級,总是,zong3 shi4,いつも
hsk3級,最近,zui4 jin4,最近
hsk3級,作业,zuo4 ye4,宿題
hsk3級,作用,zuo4 yong4,作用
hsk4級,爱情,ai4 qing2,愛
hsk4級,安排,an1 pai2,段取りする
hsk4級,安全,an1 quan2,安全
hsk4級,暗,an4,暗い
hsk4級,按时,an4 shi2,時間通りに
hsk4級,按照,an4 zhao4,によると、
hsk4級,包括,bao1 kuo4,含め
hsk4級,保护,bao3 hu4,保護
hsk4級,保证,bao3 zheng4,保証
hsk4級,抱,bao4,抱える
hsk4級,抱歉,bao4 qian4,すみません
hsk4級,报道,bao4 dao4,レポート
hsk4級,报名,bao4 ming2,登録する
hsk4級,倍,bei4,時間
hsk4級,本来,ben3 lai2,元々
hsk4級,笨,ben4,愚か
hsk4級,笔记本,bi3 ji4 ben3,ノート
hsk4級,毕业,bi4 ye4,卒業
hsk4級,遍,bian4,全体
hsk4級,标准,biao1 zhun3,標準
hsk4級,表达,biao3 da2,表現
hsk4級,表格,biao3 ge2,表
hsk4級,表扬,biao3 yang2,賞賛
hsk4級,饼干,bing3 gan1,ビスケット
hsk4級,并且,bing4 qie3,その他に
hsk4級,博士,bo2 shi4,博士
hsk4級,不但,bu4 dan4,だけでなく、
hsk4級,不过,bu4 guo4,但し
hsk4級,不得不,bu4 de2 bu4,しなければなりません
hsk4級,不管,bu4 guan3,にもかかわらず
hsk4級,不仅,bu4 jin3,だけでなく、
hsk4級,部分,bu4 fen4,部分
hsk4級,擦,ca1,拭く
hsk4級,猜,cai1,推測
hsk4級,材料,cai2 liao4,材料
hsk4級,参观,can1 guan1,参観
hsk4級,差不多,cha4 bu5 duo1,殆ど
hsk4級,尝,chang2,味見する
hsk4級,长城,Chang2 cheng2,万里の長城
hsk4級,长江,Chang2 jiang1,揚子江
hsk4級,场,chang3,フィールド
hsk4級,超过,chao1 guo4,上回り
hsk4級,吵,chao3,騒々しい
hsk4級,成功,cheng2 gong1,成功
hsk4級,成熟,cheng2 shu2,成熟
hsk4級,成为,cheng2 wei2,になる
hsk4級,诚实,cheng2 shi2,正直な
hsk4級,乘坐,cheng2 zuo4,乗る
hsk4級,吃惊,chi1 jing1,ショック
hsk4級,重新,chong2 xin1,再び
hsk4級,抽烟,chou1 yan1,喫煙
hsk4級,出差,chu1 chai1,出張で
hsk4級,出发,chu1 fa1,出発
hsk4級,出生,chu1 sheng1,生れつき
hsk4級,传真,chuan2 zhen1,ファックス
hsk4級,窗户,chuang1 hu5,窓
hsk4級,词典,ci2 dian3,辞書
hsk4級,从来,cong2 lai2,これまでずっと
hsk4級,粗心,cu1 xin1,不注意な
hsk4級,答案,da2 an4,答え
hsk4級,打扮,da3 ban5,ドレスアップ
hsk4級,打扰,da3 rao3,乱し
hsk4級,打印,da3 yin4,プリント
hsk4級,打折,da3 zhe2,割引
hsk4級,打针,da3 zhen1,注射を与え
hsk4級,大概,da4 gai4,多分
hsk4級,大使馆,da4 shi3 guan3,大使館
hsk4級,大约,da4 yue1,およそ
hsk4級,戴,dai4,着用
hsk4級,代表,dai4 biao3,を代表して
hsk4級,代替,dai4 ti4,代替
hsk4級,大夫,dai4 fu5,医師
hsk4級,当,dang1,とき
hsk4級,当地,dang1 di4,地元
hsk4級,当时,dang1 shi2,当時
hsk4級,刀,dao1,刀
hsk4級,导游,dao3 you2,ガイド
hsk4級,到处,dao4 chu4,どこにでも
hsk4級,到底,dao4 di3,最後に
hsk4級,道歉,dao4 qian4,謝り
hsk4級,得意,de2 yi4,誇りに思い
hsk4級,得,dei3,得
hsk4級,等,deng3,待つ
hsk4級,底,di3,終了
hsk4級,地球,di4 qiu2,地球
hsk4級,地址,di4 zhi3,アドレス
hsk4級,掉,diao4,秋
hsk4級,调查,diao4 cha2,調査
hsk4級,丢,diu1,投げ
hsk4級,动作,dong4 zuo4,アクション
hsk4級,堵车,du3 che1,交通渋滞
hsk4級,肚子,du4 zi5,腹
hsk4級,断,duan4,断つ
hsk4級,对,dui4,へ
hsk4級,对话,dui4 hua4,対話
hsk4級,对面,dui4 mian4,逆の
hsk4級,顿,dun4,止まる
hsk4級,朵,duo3,花
hsk4級,而,er2,と
hsk4級,儿童,er2 tong2,子供
hsk4級,发,fa1,髪
hsk4級,发生,fa1 sheng1,発生する
hsk4級,发展,fa1 zhan3,開発
hsk4級,法律,fa3 lv4,法則
hsk4級,翻译,fan1 yi4,翻訳
hsk4級,烦恼,fan2 nao3,心配
hsk4級,反对,fan3 dui4,反対
hsk4級,反应,fan3 ying4,反応
hsk4級,范围,fan4 wei2,範囲
hsk4級,方法,fang1 fa3,方法
hsk4級,方面,fang1 mian4,様相
hsk4級,方向,fang1 xiang4,方向
